country,date,case_age_00_19,case_age_20_39,case_age_40_59,case_age_60over,case_total
AUS,2020/2/1,0,0,0,0,0
AUS,2020/2/2,0,0,0,0,0
AUS,2020/2/3,0,0,0,0,0
AUS,2020/2/4,1,1,0,0,2
AUS,2020/2/5,0,0,0,0,0
AUS,2020/2/6,0,1,0,0,1
AUS,2020/2/7,0,0,0,0,0
AUS,2020/2/8,0,0,0,0,0
AUS,2020/2/9,0,0,0,0,0
AUS,2020/2/10,0,0,0,0,0
AUS,2020/2/11,0,0,0,0,0
AUS,2020/2/12,0,0,0,0,0
AUS,2020/2/13,0,0,0,0,0
AUS,2020/2/14,0,0,0,0,0
AUS,2020/2/15,0,0,0,0,0
AUS,2020/2/16,0,0,0,0,0
AUS,2020/2/17,0,0,0,0,0
AUS,2020/2/18,0,0,0,0,0
AUS,2020/2/19,0,0,0,0,0
AUS,2020/2/20,0,0,0,0,0
AUS,2020/2/21,0,0,0,0,0
AUS,2020/2/22,0,1,2,1,4
AUS,2020/2/23,0,0,0,0,0
AUS,2020/2/24,0,0,1,0,1
AUS,2020/2/25,0,0,0,1,1
AUS,2020/2/26,0,0,0,0,0
AUS,2020/2/27,0,0,0,0,0
AUS,2020/2/28,0,0,0,1,1
AUS,2020/2/29,0,0,0,1,1
AUS,2020/3/1,0,1,0,1,2
AUS,2020/3/2,0,2,0,0,2
AUS,2020/3/3,0,1,0,0,1
AUS,2020/3/4,0,1,0,1,2
AUS,2020/3/5,0,1,0,0,1
AUS,2020/3/6,0,1,0,1,2
AUS,2020/3/7,0,0,1,0,1
AUS,2020/3/8,0,0,2,1,3
AUS,2020/3/9,1,8,7,3,19
AUS,2020/3/10,0,2,7,3,12
AUS,2020/3/11,2,9,11,8,30
AUS,2020/3/12,0,17,12,5,34
AUS,2020/3/13,0,22,17,12,51
AUS,2020/3/14,3,17,12,10,42
AUS,2020/3/15,2,23,19,9,53
AUS,2020/3/16,2,29,26,14,71
AUS,2020/3/17,3,61,48,23,135
AUS,2020/3/18,0,39,39,18,96
AUS,2020/3/19,9,46,39,32,126
AUS,2020/3/20,8,84,56,43,191
AUS,2020/3/21,4,77,74,71,226
AUS,2020/3/22,8,73,81,90,252
AUS,2020/3/23,10,91,76,113,290
AUS,2020/3/24,8,126,94,93,321
AUS,2020/3/25,8,121,84,110,323
AUS,2020/3/26,8,124,94,78,304
AUS,2020/3/27,22,146,90,123,381
AUS,2020/3/28,13,104,81,70,268
AUS,2020/3/29,9,91,55,56,211
AUS,2020/3/30,9,97,54,46,206
AUS,2020/3/31,11,87,61,66,225
AUS,2020/4/1,13,93,57,57,220
AUS,2020/4/2,13,68,49,47,177
AUS,2020/4/3,13,67,27,49,156
AUS,2020/4/4,3,41,42,26,112
AUS,2020/4/5,7,31,27,33,98
AUS,2020/4/6,5,34,21,19,79
