country,19,2039,4059,60over,total
AUS,1.59E-05,0.00011519,0.001262195,0.03405541,0.007604563
BEL,0,0.000279716,0.003060648,0.072867354,0.014297243
DEU,5.96E-05,0.000215967,0.003186674,0.111314255,0.029556051
DNK,3.49E-05,0.000252556,0.002767385,0.074667074,0.016673135
ESP,1.53E-05,0.000206431,0.002495232,0.076656645,0.017605599
FRA,3.97E-05,0.000287104,0.00314594,0.084880893,0.018953878
GBR,9.91E-05,0.000661468,0.007063112,0.166511531,0.031722239
HKG,0,0,0.003610108,0.051181102,0.011077158
ITA,4.31E-05,0.000311491,0.003413158,0.09209073,0.020563832
JPN,0,0.000101284,0.001924703,0.076128562,0.020661174
KOR,4.08E-05,0.000295081,0.003233351,0.087239345,0.019480519
MYS,2.29E-04,2.75E-04,0.003945967,0.038030424,0.003639007
NLD,3.87E-05,0.000279626,0.003064,0.082670087,0.018460206
PRT,1.60E-05,0.000309378,0.002866639,0.089550137,0.024373322
THA,0,7.56E-05,0.001870907,0.031343284,0.001573729
TWN,0,0,0,0.1875,0.012875536
overall,5.05E-05,0.000365197,0.004001648,0.107968854,0.024109413
