country,19,2039,4059,60over,total
AUS,1.59221E-05,0.000115192,0.001262756,0.034052939,0.007604563
BEL,2.9935E-05,0.00021657,0.002374092,0.064022504,0.014297243
DEU,6.18833E-05,0.000447706,0.004907854,0.132350856,0.029556051
DNK,3.49095E-05,0.00025256,0.002768614,0.074661656,0.016673135
ESP,3.68619E-05,0.000266684,0.002923452,0.078837195,0.017605599
FRA,3.96849E-05,0.000287108,0.003147337,0.084874734,0.018953878
GBR,6.64188E-05,0.000480519,0.005267555,0.142050961,0.031722239
HKG,2.31929E-05,0.000167793,0.001839389,0.049603087,0.011077158
ITA,4.30557E-05,0.000311495,0.003414674,0.092084048,0.020563832
JPN,4.32595E-05,0.000312969,0.003430838,0.092519938,0.020661174
KOR,4.07875E-05,0.000295085,0.003234787,0.087233015,0.019480519
MYS,7.61921E-06,5.51226E-05,0.000604266,0.016295332,0.003639007
NLD,3.86512E-05,0.00027963,0.003065362,0.082664089,0.018460206
PRT,5.10319E-05,0.0003692,0.004047249,0.109142797,0.024373322
THA,3.84882E-06,2.7845E-05,0.000269215,0.007263308,0.001621972
TWN,2.5025E-05,0.000181048,0.00198469,0.053521451,0.011952191
overall,5.04866E-05,0.000365255,0.004004002,0.107976529,0.024112876
