country,date,case_age_00_19,case_age_20_39,case_age_40_59,case_age_60over,case_total,mask_age_00_19,mask_age_20_39,mask_age_40_59,mask_age_60over,mask_overall
AUS,2020/2/1,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/2,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/3,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/4,1,1,0,0,2,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/5,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/6,0,1,0,0,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/7,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/8,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/9,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/10,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/11,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/12,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/13,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/14,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/15,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/16,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/17,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/18,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/19,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/20,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/21,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/22,0,1,2,1,4,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/23,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/24,0,0,1,0,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/25,0,0,0,1,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/26,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/27,0,0,0,0,0,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/28,0,0,0,1,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/2/29,0,0,0,1,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/1,0,1,0,1,2,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/2,0,2,0,0,2,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/3,0,1,0,0,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/4,0,1,0,1,2,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/5,0,1,0,0,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/6,0,1,0,1,2,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/7,0,0,1,0,1,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/8,0,0,2,1,3,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/9,1,8,7,3,19,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/10,0,2,7,3,12,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/11,2,9,11,8,30,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/12,0,17,12,5,34,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/13,0,22,17,12,51,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/14,3,17,12,10,42,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/15,2,23,19,9,53,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/16,2,29,26,14,71,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/17,3,61,48,23,135,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/18,0,39,39,18,96,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/19,9,46,39,32,126,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/20,8,84,56,43,191,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/21,4,77,74,71,226,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
AUS,2020/3/22,8,73,81,90,252,0.266077121,0.357054642,0.239251441,0.161875115,0.2609713
