country,age_0_19,age_20_39,age_40_59,age_60,total
AUS,4890665,5806473,4979117,4357194,20033449
BEL,2614954,2890082,3117180,2967400,11589616
DEU,15811520,20249381,23731744,23009699,82802344
DNK,1281977,1448252,1548333,1513641,5792203
ESP,8970564,10519592,14984826,12279801,46754783
FRA,15410951,15382079,16960724,17519758,65273512
GBR,14032132,15604092,15556662,14526838,59719724
HKG,1216854,1989794,2337036,1953304,7496988
ITA,10728443,13101870,18589196,18042319,60461828
JPN,21447140,26602741,35014590,43411987,126476458
KOR,8907071,13796133,16695543,11870436,51269183
MYS,10258958,11421586,7136570,3548884,32365998
NLD,3706455,4195011,4675508,4557899,17134873
PRT,1856242,2289007,3056918,2994540,10196707
THA,15932143,18860035,21595651,13412149,69799978
TWN,4241697,6668940,7447061,5459077,23816775
